日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-14,null,Tag.onOrderSelect,用户标签.排序选择,7,4
2020-11-14,null,Other.deeplink,其他.Linking,7,4
2020-11-14,null,Episodes.to,章节.跳转,8,4
2020-11-14,null,Wenku.to,文库.跳转,8,4
2020-11-14,null,Rank.onFilterSelect,排行榜.筛选选择,8,4
2020-11-14,null,Characters.to,更多角色.跳转,8,3
2020-11-14,null,TTemples.to,最近圣殿.跳转,8,2
2020-11-14,null,ServerStatus.pingOne,网络探针.检测,8,1
2020-11-14,null,Rank.onTypeSelect,排行榜.类型选择,8,3
2020-11-14,null,TValhall.to,英灵殿.跳转,9,3
2020-11-14,null,TSacrifice.toggleExpand,资产重组.展开收起圣殿,9,6
2020-11-14,null,TTrade.changeDistance,K线.间隔,9,2
2020-11-14,null,Voices.to,角色.跳转,9,2
2020-11-14,null,Browser.onAirdateSelect,索引.年选择,9,6
2020-11-14,null,TRich.to,番市首富.跳转,9,6
2020-11-14,null,TDeal.switchIsIce,交易.切换冰山,9,5
2020-11-14,null,Topic.scrollTo,帖子.楼层跳转,9,6
2020-11-14,null,Other.theme,其他.切换主题,10,6
2020-11-14,null,TNew.to,新番榜单.跳转,10,2
2020-11-14,null,Subject.doTranslate,条目.翻译简介,11,3
2020-11-14,null,Works.onFilterSelect,作品.职位选择,11,5
2020-11-14,null,Wenku.onSelect,文库.选择,11,4
2020-11-14,null,TRich.tabsChange,番市首富.标签页切换,11,5
2020-11-14,null,TSacrifice.templeView,资产重组.圣殿图查看,11,6
2020-11-14,null,Topic.topRightMenu,帖子.右上角菜单,12,7
2020-11-14,null,Character.to,收藏的人物.跳转,12,3
2020-11-14,null,Mono.imageView,人物.封面图查看,12,5
2020-11-14,null,TOverview.onSortPress,热门榜单.排序,13,2
2020-11-14,null,TDeal.showTime,交易.显示时间,13,7
2020-11-14,null,TOverview.tabsChange,热门榜单.标签页切换,13,3
2020-11-14,null,UserTimeline.mosaicTilePress,时间线.点击瓷砖,13,2
2020-11-14,null,Zone.tabsPress,空间.标签页点击,13,1
2020-11-14,null,Topic.showFixedTextarea,帖子.显示评论框,13,3
2020-11-14,null,TIndex.authSuccess,小圣杯.授权成功,14,9
2020-11-14,null,TBid.tabsChange,我的委托.标签页切换,14,6
2020-11-14,null,TTree.onCaculateTypeSelect,资产分析.选择计算类型,15,4
2020-11-14,null,LoginV1.onLogin,授权登陆.登陆,15,9
2020-11-14,null,Notify.to,电波提醒.跳转,15,4
2020-11-14,null,User.onFilterSelect,我的.筛选选择,16,2
2020-11-14,null,Setting.switch,设置.切换,16,7
2020-11-14,null,User.topRightMenu,我的.右上角菜单,16,6
2020-11-14,null,TTree.refresh,资产分析.刷新,16,10
2020-11-14,null,TICODeal.to,ICO交易.跳转,17,8
2020-11-14,null,Rakuen.tabsChange,超展开.标签页切换,18,6
2020-11-14,null,TIndex.bonusWeek,小圣杯.每周分红,18,13
2020-11-14,null,Character.tabsChange,收藏的人物.标签页切换,18,6
2020-11-14,null,Topic.doReply,帖子.回复,19,7
