日期,参数值,消息数量,占比
2020-11-22,制作人员,48,0.24%
2020-11-22,讨论版,34,0.17%
2020-11-22,评分分布,31,0.16%
2020-11-22,系列前传,29,0.15%
2020-11-22,吐槽,13,0.07%
2020-11-22,条目,11,0.06%
2020-11-22,单行本,8,0.04%
2020-11-22,猜你喜欢,6,0.03%
2020-11-22,曲目列表,3,0.02%
2020-11-22,用户动态,2,0.01%
2020-11-22,目录,1,0.01%
2020-11-23,角色,129,0.65%
2020-11-23,关联条目,85,0.43%
2020-11-23,章节,69,0.35%
2020-11-23,系列续集,53,0.27%
2020-11-23,标签,50,0.25%
2020-11-23,评论,49,0.25%
2020-11-23,制作人员,31,0.16%
2020-11-23,详情,30,0.15%
2020-11-23,系列前传,24,0.12%
2020-11-23,评分分布,23,0.12%
2020-11-23,讨论版,17,0.09%
2020-11-23,条目,16,0.08%
2020-11-23,猜你喜欢,11,0.06%
2020-11-23,单行本,7,0.04%
2020-11-23,目录,5,0.03%
2020-11-23,吐槽,4,0.02%
2020-11-23,曲目列表,3,0.02%
2020-11-23,用户动态,2,0.01%
2020-11-24,关联条目,79,0.4%
2020-11-24,标签,55,0.28%
2020-11-24,角色,55,0.28%
2020-11-24,章节,54,0.27%
2020-11-24,评论,31,0.16%
2020-11-24,系列续集,29,0.15%
2020-11-24,详情,28,0.14%
2020-11-24,制作人员,25,0.13%
2020-11-24,系列前传,21,0.11%
2020-11-24,讨论版,14,0.07%
2020-11-24,单行本,11,0.06%
2020-11-24,条目,9,0.05%
2020-11-24,评分分布,9,0.05%
2020-11-24,猜你喜欢,4,0.02%
2020-11-24,吐槽,4,0.02%
2020-11-24,目录,3,0.02%
2020-11-24,曲目列表,3,0.02%
2020-11-24,系列,1,0.01%
2020-11-25,系列续集,89,0.45%
2020-11-25,关联条目,82,0.42%
2020-11-25,章节,60,0.3%
2020-11-25,标签,53,0.27%
2020-11-25,角色,49,0.25%
2020-11-25,系列前传,44,0.22%
2020-11-25,猜你喜欢,27,0.14%
2020-11-25,制作人员,26,0.13%
2020-11-25,评论,26,0.13%
2020-11-25,评分分布,24,0.12%
2020-11-25,详情,23,0.12%
2020-11-25,讨论版,21,0.11%
2020-11-25,单行本,16,0.08%
2020-11-25,吐槽,8,0.04%
2020-11-25,条目,6,0.03%
2020-11-25,用户动态,2,0.01%
2020-11-25,目录,1,0.01%
2020-11-25,收藏,1,0.01%
2020-11-25,曲目列表,1,0.01%
2020-11-26,章节,103,0.52%
2020-11-26,关联条目,86,0.44%
2020-11-26,角色,79,0.4%
2020-11-26,标签,44,0.22%
2020-11-26,系列续集,37,0.19%
2020-11-26,评论,35,0.18%
2020-11-26,制作人员,34,0.17%
2020-11-26,详情,31,0.16%
2020-11-26,系列前传,25,0.13%
2020-11-26,讨论版,21,0.11%
2020-11-26,评分分布,15,0.08%
2020-11-26,猜你喜欢,14,0.07%
2020-11-26,吐槽,8,0.04%
2020-11-26,条目,5,0.03%
2020-11-26,单行本,3,0.02%
2020-11-26,目录,2,0.01%
2020-11-26,收藏,1,0.01%
2020-11-26,曲目列表,1,0.01%
2020-11-27,角色,162,0.82%
2020-11-27,章节,103,0.52%
2020-11-27,关联条目,88,0.45%
2020-11-27,评论,60,0.3%
2020-11-27,标签,48,0.24%
2020-11-27,详情,38,0.19%
2020-11-27,评分分布,33,0.17%
2020-11-27,制作人员,29,0.15%
2020-11-27,讨论版,27,0.14%
2020-11-27,系列续集,14,0.07%
2020-11-27,条目,13,0.07%
2020-11-27,系列前传,11,0.06%
2020-11-27,曲目列表,9,0.05%
2020-11-27,单行本,8,0.04%
2020-11-27,猜你喜欢,6,0.03%
2020-11-27,吐槽,6,0.03%
2020-11-27,目录,3,0.02%
2020-11-27,用户动态,2,0.01%
2020-11-27,收藏,2,0.01%
2020-11-28,角色,148,0.75%
2020-11-28,章节,118,0.6%
2020-11-28,关联条目,103,0.52%
2020-11-28,详情,65,0.33%
2020-11-28,标签,48,0.24%
2020-11-28,制作人员,41,0.21%
2020-11-28,系列续集,40,0.2%
2020-11-28,评论,40,0.2%
2020-11-28,系列前传,36,0.18%
2020-11-28,讨论版,35,0.18%
2020-11-28,评分分布,30,0.15%
2020-11-28,单行本,23,0.12%
2020-11-28,条目,20,0.1%
2020-11-28,猜你喜欢,13,0.07%
2020-11-28,吐槽,10,0.05%
2020-11-28,收藏,4,0.02%
2020-11-28,曲目列表,3,0.02%
2020-11-28,目录,2,0.01%
2020-11-28,系列,2,0.01%
2020-11-28,用户动态,1,0.01%
2020-11-29,角色,187,0.95%
2020-11-29,关联条目,132,0.67%
2020-11-29,章节,122,0.62%
2020-11-29,评论,80,0.41%
2020-11-29,标签,61,0.31%
2020-11-29,详情,61,0.31%
2020-11-29,制作人员,50,0.25%
2020-11-29,讨论版,37,0.19%
2020-11-29,系列续集,26,0.13%
2020-11-29,评分分布,25,0.13%
2020-11-29,系列前传,17,0.09%
2020-11-29,吐槽,17,0.09%
2020-11-29,猜你喜欢,9,0.05%
2020-11-29,曲目列表,8,0.04%
2020-11-29,条目,7,0.04%
2020-11-29,单行本,6,0.03%
2020-11-29,用户动态,2,0.01%
2020-11-29,收藏,2,0.01%
2020-11-29,目录,1,0.01%
2020-11-30,角色,160,0.81%
2020-11-30,关联条目,103,0.52%
2020-11-30,制作人员,83,0.42%
2020-11-30,章节,79,0.4%
2020-11-30,评分分布,62,0.31%
2020-11-30,标签,57,0.29%
2020-11-30,系列续集,54,0.27%
2020-11-30,评论,53,0.27%
2020-11-30,详情,52,0.26%
